Id,LotFrontage,LotArea,Street,Alley,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageArea,GarageCond,PavedDrive,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
772,67,8877,Pave,NA,AllPub,Inside,Edwards,Norm,Norm,1Fam,1Story,4,5,1951,Gable,CompShg,Wd Sdng,0,TA,TA,CBlock,Fa,Fa,836,GasA,1220,0,0,1220,1,2,1,TA,6,Typ,0,Detchd,396,TA,Y,0,NA,NA,NA,0,4,2006,COD,Normal,102000
773,94,7819,Pave,NA,AllPub,Inside,Edwards,Norm,Norm,1Fam,SLvl,6,5,1976,Gable,CompShg,Plywood,0,TA,TA,CBlock,TA,TA,1029,GasA,1117,0,0,1117,1,3,1,TA,6,Typ,1,Detchd,672,TA,Y,0,NA,MnPrv,NA,0,3,2010,WD,Abnorml,107000
774,70,10150,Pave,NA,AllPub,Inside,NAmes,Feedr,Norm,1Fam,1Story,5,5,1958,Gable,CompShg,Wd Sdng,1,TA,TA,CBlock,TA,TA,912,GasA,912,0,0,912,1,2,1,TA,5,Typ,0,Attchd,275,TA,Y,0,NA,NA,NA,0,7,2007,COD,Normal,114500
775,110,14226,Pave,NA,AllPub,Corner,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,Hip,CompShg,VinylSd,375,Gd,TA,PConc,Gd,TA,1935,GasA,1973,0,0,1973,2,3,1,Gd,9,Typ,1,Attchd,895,TA,Y,0,NA,NA,NA,0,7,2007,New,Partial,395000
776,32,4500,Pave,NA,AllPub,FR2,Mitchel,Norm,Norm,TwnhsE,1Story,6,5,1998,Hip,CompShg,VinylSd,320,TA,TA,PConc,Ex,TA,1204,GasA,1204,0,0,1204,2,2,1,TA,5,Typ,0,Attchd,412,TA,Y,0,NA,NA,NA,0,6,2009,WD,Normal,162000
777,86,11210,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,Gable,CompShg,VinylSd,240,Gd,TA,PConc,Gd,TA,1614,GasA,1614,0,0,1614,2,3,1,Gd,7,Typ,0,Attchd,865,TA,Y,0,NA,NA,NA,0,7,2006,New,Partial,221500
778,100,13350,Pave,NA,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,5,1974,Hip,CompShg,HdBoard,0,TA,TA,CBlock,TA,TA,864,GasA,894,0,0,894,1,3,1,TA,5,Typ,1,Attchd,440,TA,Y,0,NA,MnPrv,NA,0,6,2006,WD,Normal,142500
779,60,8400,Pave,NA,AllPub,Inside,SawyerW,Feedr,Norm,Duplex,1Story,5,5,1977,Gable,CompShg,Plywood,320,TA,TA,Slab,NA,NA,0,GasA,2020,0,0,2020,2,4,2,TA,10,Typ,2,Detchd,630,TA,Y,0,NA,NA,NA,0,10,2007,WD,Normal,144000
780,78,10530,Pave,NA,AllPub,Inside,Mitchel,Norm,Norm,Duplex,SFoyer,6,5,1977,Gable,CompShg,Plywood,90,TA,TA,CBlock,Gd,TA,975,GasA,1004,0,0,1004,1,2,1,TA,4,Typ,0,Attchd,504,TA,Y,0,NA,NA,NA,0,5,2006,WD,Normal,135000
781,63,7875,Pave,NA,AllPub,Inside,Gilbert,Norm,Norm,1Fam,1Story,7,5,1995,Gable,CompShg,HdBoard,38,TA,TA,PConc,Gd,Gd,1237,GasA,1253,0,0,1253,2,3,1,TA,6,Typ,1,Attchd,402,TA,Y,0,NA,NA,NA,0,6,2007,WD,Normal,176000
782,65,7153,Pave,NA,AllPub,Inside,SawyerW,Norm,Norm,1Fam,2Story,6,5,1992,Gable,CompShg,VinylSd,0,Gd,Gd,PConc,Gd,TA,761,GasA,810,793,0,1603,2,3,1,Gd,7,Typ,0,Attchd,484,TA,Y,0,NA,NA,NA,0,7,2006,WD,Normal,175900
783,67,16285,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Gd,TA,1413,GasA,1430,0,0,1430,2,3,1,Gd,6,Typ,0,Attchd,605,TA,Y,0,NA,NA,NA,0,6,2009,WD,Normal,187100
784,NA,9101,Pave,NA,AllPub,Corner,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,Gable,CompShg,Plywood,104,TA,Gd,PConc,Gd,TA,1097,GasA,1110,0,0,1110,1,1,1,Gd,4,Typ,1,Attchd,602,TA,Y,0,NA,NA,NA,0,7,2009,WD,Normal,165500
785,35,6300,Pave,Grvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,2.5Unf,6,6,1914,Gable,CompShg,Wd Sdng,0,TA,TA,CBlock,TA,TA,742,GasA,742,742,0,1484,2,3,1,TA,9,Typ,1,NA,0,NA,Y,0,NA,NA,NA,0,6,2008,WD,Normal,128000
786,NA,9790,Pave,NA,AllPub,Inside,NWAmes,Feedr,Norm,1Fam,1Story,6,5,1967,Gable,CompShg,BrkFace,0,TA,TA,CBlock,TA,TA,1372,GasA,1342,0,0,1342,2,3,1,TA,7,Typ,1,Attchd,457,TA,Y,0,NA,NA,NA,0,9,2009,WD,Normal,161500
787,60,10800,Pave,NA,AllPub,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,5,6,1915,Gable,CompShg,MetalSd,0,TA,Gd,PConc,Fa,TA,686,GasA,966,686,0,1652,2,4,1,TA,7,Typ,0,Detchd,416,TA,Y,0,NA,NA,Shed,1200,6,2010,WD,Normal,139000
788,76,10142,Pave,NA,AllPub,Inside,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Gd,TA,956,GasA,956,1128,0,2084,2,4,1,Gd,8,Typ,0,BuiltIn,618,TA,Y,0,NA,NA,NA,0,1,2010,WD,Normal,233000
789,50,6000,Pave,NA,AllPub,Corner,OldTown,Norm,Norm,1Fam,1Story,4,7,1954,Gable,CompShg,MetalSd,0,TA,TA,CBlock,TA,TA,901,GasA,901,0,0,901,1,2,1,TA,4,Typ,0,Detchd,281,TA,Y,0,NA,NA,NA,0,8,2008,WD,Normal,107900
790,NA,12205,Pave,NA,AllPub,Inside,ClearCr,Norm,Norm,1Fam,2Story,6,8,1966,Gable,CompShg,HdBoard,157,TA,TA,CBlock,TA,Fa,832,GasA,976,1111,0,2087,2,5,1,Gd,9,Typ,0,Attchd,444,TA,Y,0,NA,NA,NA,0,7,2007,WD,Normal,187500
791,43,3182,Pave,NA,AllPub,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,Gable,CompShg,VinylSd,11,Gd,TA,PConc,Gd,TA,1145,GasA,1145,0,0,1145,2,2,1,Gd,5,Typ,1,Attchd,397,TA,Y,0,NA,NA,NA,0,9,2009,WD,Normal,160200
792,NA,11333,Pave,NA,AllPub,Corner,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1976,Gable,CompShg,HdBoard,0,TA,TA,PConc,Gd,TA,1029,GasA,1062,0,0,1062,1,3,1,TA,5,Typ,2,Attchd,539,TA,Y,0,NA,NA,NA,0,5,2007,WD,Normal,146800
793,92,9920,Pave,NA,AllPub,CulDSac,NoRidge,Norm,Norm,1Fam,2Story,7,5,1996,Gable,CompShg,MetalSd,0,Gd,TA,PConc,Gd,TA,1117,GasA,1127,886,0,2013,2,3,1,TA,8,Typ,1,Attchd,455,TA,Y,0,NA,NA,NA,0,6,2007,WD,Normal,269790
794,76,9158,Pave,NA,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,CemntBd,140,Gd,TA,PConc,Gd,TA,1496,GasA,1496,0,0,1496,2,3,1,Gd,7,Typ,0,Attchd,474,TA,Y,0,NA,NA,NA,0,6,2007,New,Partial,225000
795,NA,10832,Pave,NA,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,7,5,1994,Gable,CompShg,MetalSd,0,Gd,TA,PConc,Gd,TA,712,GasA,1086,809,0,1895,2,3,1,Gd,7,Typ,1,Attchd,409,TA,Y,0,NA,NA,Shed,500,10,2008,WD,Normal,194500
796,70,8400,Pave,NA,AllPub,Inside,SawyerW,Norm,Norm,1Fam,2Story,6,6,1980,Gable,CompShg,HdBoard,130,TA,TA,CBlock,Gd,TA,650,GasA,888,676,0,1564,2,3,1,TA,7,Typ,1,Attchd,476,TA,Y,0,NA,MnPrv,NA,0,4,2010,WD,Normal,171000
797,71,8197,Pave,NA,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,Gable,CompShg,Plywood,148,TA,TA,CBlock,TA,TA,660,GasA,1285,0,0,1285,1,3,1,TA,7,Typ,1,Attchd,528,TA,Y,0,NA,MnPrv,NA,0,4,2007,WD,Normal,143500
798,57,7677,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,1953,Gable,CompShg,VinylSd,0,TA,TA,CBlock,TA,TA,773,GasA,773,0,0,773,1,2,1,TA,4,Typ,0,Attchd,240,TA,Y,0,NA,NA,NA,0,4,2008,WD,Abnorml,110000
799,104,13518,Pave,NA,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,9,5,2008,Hip,CompShg,VinylSd,860,Ex,TA,PConc,Ex,TA,1926,GasA,1966,1174,0,3140,3,4,1,Ex,11,Typ,2,BuiltIn,820,TA,Y,0,NA,NA,NA,0,7,2009,New,Partial,485000
800,60,7200,Pave,NA,AllPub,Corner,SWISU,Feedr,Norm,1Fam,1.5Fin,5,7,1937,Gable,CompShg,Wd Sdng,252,TA,TA,BrkTil,Gd,TA,731,GasA,981,787,0,1768,1,3,1,Gd,7,Typ,2,Detchd,240,TA,Y,0,NA,MnPrv,NA,0,6,2007,WD,Normal,175000
801,79,12798,Pave,NA,AllPub,Inside,ClearCr,Feedr,Norm,1Fam,2Story,6,5,1997,Gable,CompShg,VinylSd,0,TA,TA,PConc,Gd,TA,616,GasA,616,1072,0,1688,2,4,1,Gd,8,Typ,0,Attchd,603,TA,Y,0,NA,NA,Shed,400,5,2008,WD,Normal,200000
802,40,4800,Pave,NA,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,1Story,4,7,1916,Gable,CompShg,MetalSd,0,TA,TA,CBlock,TA,TA,1196,GasA,1196,0,0,1196,1,2,1,TA,5,Typ,0,Detchd,440,TA,Y,0,NA,NA,NA,0,7,2007,WD,Normal,109900
803,63,8199,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2005,Gable,CompShg,WdShing,0,Gd,TA,PConc,Gd,TA,728,GasA,728,728,0,1456,2,3,1,Gd,7,Typ,1,Attchd,410,TA,Y,0,NA,NA,NA,0,10,2008,WD,Normal,189000
804,107,13891,Pave,NA,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,9,5,2008,Hip,CompShg,VinylSd,424,Ex,TA,PConc,Ex,TA,1734,GasA,1734,1088,0,2822,3,4,1,Ex,12,Typ,1,BuiltIn,1020,TA,Y,0,NA,NA,NA,0,1,2009,New,Partial,582933
805,75,9000,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,Gable,CompShg,Wd Sdng,0,TA,TA,CBlock,TA,TA,936,GasA,1128,0,0,1128,1,2,1,TA,5,Min1,0,Attchd,286,TA,Y,0,NA,GdWo,NA,0,6,2006,WD,Family,118000
806,91,12274,Pave,NA,AllPub,FR2,Somerst,Norm,Norm,1Fam,1Story,7,5,2008,Gable,CompShg,VinylSd,256,Gd,TA,PConc,Gd,TA,1417,GasA,1428,0,0,1428,2,3,1,Ex,6,Typ,0,Attchd,554,TA,Y,0,NA,NA,NA,0,7,2008,New,Partial,227680
807,75,9750,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,SLvl,5,5,1967,Gable,CompShg,VinylSd,0,TA,TA,PConc,TA,TA,980,GasA,980,0,0,980,2,3,1,TA,6,Typ,0,Attchd,384,TA,Y,0,NA,NA,NA,0,10,2006,WD,Normal,135500
808,144,21384,Pave,NA,AllPub,Inside,BrkSide,Norm,Norm,1Fam,2Story,5,6,1923,Gable,CompShg,Wd Sdng,0,TA,TA,CBlock,TA,TA,1324,GasA,1072,504,0,1576,1,3,1,Gd,6,Typ,1,Attchd,528,TA,Y,0,NA,NA,NA,0,5,2009,WD,Normal,223500
809,85,13400,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,SLvl,5,5,1966,Gable,CompShg,VinylSd,1047,TA,TA,CBlock,TA,TA,1024,GasA,1086,0,0,1086,1,3,1,TA,6,Typ,1,Attchd,484,TA,Y,0,NA,GdWo,NA,0,6,2006,WD,Normal,159950
810,90,8100,Pave,NA,AllPub,Corner,OldTown,Norm,Norm,1Fam,2.5Unf,5,5,1898,Hip,CompShg,AsbShng,0,TA,TA,PConc,TA,TA,849,GasA,1075,1063,0,2138,2,2,3,TA,11,Typ,0,Detchd,360,Po,N,0,NA,MnPrv,NA,0,11,2009,WD,Normal,106000
811,78,10140,Pave,NA,AllPub,Inside,NWAmes,Norm,Norm,1Fam,1Story,6,6,1974,Hip,CompShg,HdBoard,99,TA,TA,CBlock,TA,TA,1040,GasA,1309,0,0,1309,1,3,1,Gd,5,Typ,1,Attchd,484,TA,Y,648,Fa,GdPrv,NA,0,1,2006,WD,Normal,181000
812,NA,4438,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,Gable,CompShg,VinylSd,169,Gd,TA,PConc,Gd,TA,848,GasA,848,0,0,848,1,1,1,Gd,4,Typ,1,Attchd,420,TA,Y,0,NA,NA,NA,0,6,2008,ConLD,Normal,144500
813,66,8712,Grvl,NA,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,1Story,5,5,1952,Hip,CompShg,Wd Sdng,0,Fa,TA,CBlock,TA,TA,540,GasA,1044,0,0,1044,1,2,1,Fa,4,Typ,0,Basment,504,TA,N,0,NA,NA,Shed,54,6,2010,WD,Alloca,55993
814,75,9750,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,Gable,CompShg,MetalSd,243,TA,TA,CBlock,TA,TA,1442,GasA,1442,0,0,1442,1,4,1,TA,7,Typ,0,Attchd,301,TA,Y,0,NA,NA,Shed,500,4,2007,COD,Normal,157900
815,45,8248,Pave,Grvl,AllPub,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,5,7,1918,Gable,CompShg,Stucco,0,TA,TA,BrkTil,TA,TA,686,GasW,686,564,0,1250,1,3,1,Fa,7,Typ,0,Detchd,280,TA,P,0,NA,NA,NA,0,7,2006,WD,Normal,116000
816,48,12137,Pave,NA,AllPub,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,7,5,1998,Gable,CompShg,VinylSd,442,TA,TA,PConc,Gd,TA,1649,GasA,1661,0,0,1661,2,3,1,Gd,6,Typ,0,Attchd,598,TA,Y,0,NA,NA,NA,0,5,2010,WD,Normal,224900
817,NA,11425,Pave,NA,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,Gable,CompShg,BrkFace,0,TA,TA,CBlock,TA,TA,1008,GasA,1008,0,0,1008,1,2,1,TA,4,Typ,1,Attchd,275,TA,Y,0,NA,NA,NA,0,7,2006,WD,Normal,137000
818,NA,13265,Pave,NA,AllPub,CulDSac,Mitchel,Norm,Norm,1Fam,1Story,8,5,2002,Hip,CompShg,CemntBd,148,Gd,TA,PConc,Gd,TA,1568,GasA,1689,0,0,1689,2,3,1,Gd,7,Typ,2,Attchd,857,TA,Y,0,NA,NA,NA,0,7,2008,WD,Normal,271000
819,80,8816,Pave,NA,AllPub,Inside,ClearCr,Norm,Norm,1Fam,SLvl,6,7,1971,Gable,CompShg,HdBoard,80,TA,TA,CBlock,TA,TA,1010,GasA,1052,0,0,1052,1,3,1,TA,6,Typ,0,Attchd,440,TA,Y,0,NA,MnPrv,NA,0,6,2010,WD,Normal,155000
820,44,6371,Pave,NA,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2009,Gable,CompShg,VinylSd,128,Gd,TA,PConc,Gd,TA,1358,GasA,1358,0,0,1358,2,2,1,Gd,6,Typ,1,Attchd,484,TA,Y,0,NA,NA,NA,0,6,2010,New,Partial,224000
821,72,7226,Pave,NA,AllPub,CulDSac,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Gd,TA,798,GasA,798,842,0,1640,2,3,1,Gd,6,Typ,0,Attchd,595,TA,Y,0,NA,NA,NA,0,6,2008,WD,Normal,183000
822,60,6000,Pave,Pave,AllPub,Inside,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,Gable,CompShg,MetalSd,0,Fa,TA,CBlock,Fa,TA,936,GasA,936,0,0,936,1,2,1,TA,4,Min2,0,Detchd,576,TA,Y,0,NA,NA,NA,0,2,2009,WD,Normal,93000
823,NA,12394,Pave,NA,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Gd,TA,847,GasA,847,886,0,1733,2,3,1,Gd,7,Typ,1,BuiltIn,433,TA,Y,0,NA,NA,NA,0,10,2007,WD,Family,225000
824,60,9900,Pave,NA,AllPub,Inside,SWISU,Norm,Norm,1Fam,1.5Fin,6,7,1940,Gable,CompShg,VinylSd,0,TA,TA,BrkTil,TA,TA,778,GasA,944,545,0,1489,2,3,1,TA,7,Typ,1,Detchd,240,TA,Y,0,NA,GdWo,NA,0,7,2009,WD,Normal,139500
825,81,11216,Pave,NA,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Gd,Gd,1489,GasA,1489,0,0,1489,2,3,1,Gd,7,Typ,1,Attchd,776,TA,Y,0,NA,NA,NA,0,6,2006,New,Partial,232600
826,114,14803,Pave,NA,AllPub,Inside,NridgHt,PosN,PosN,1Fam,1Story,10,5,2007,Hip,CompShg,CemntBd,816,Ex,TA,PConc,Ex,TA,2078,GasA,2084,0,0,2084,2,2,1,Ex,7,Typ,1,Attchd,1220,TA,Y,0,NA,NA,NA,0,6,2008,New,Partial,385000
827,50,6130,Pave,NA,AllPub,Inside,BrkSide,Norm,Norm,1Fam,1.5Unf,5,6,1924,Gable,CompShg,MetalSd,0,TA,TA,BrkTil,TA,TA,784,GasA,784,0,0,784,1,2,1,Gd,5,Typ,0,NA,0,NA,Y,0,NA,NA,NA,0,5,2008,WD,Normal,109500
828,65,8529,Pave,NA,AllPub,Inside,SawyerW,Norm,Norm,1Fam,1Story,7,5,2001,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Gd,TA,1454,GasA,1434,0,0,1434,2,3,1,Gd,6,Typ,1,Attchd,527,TA,Y,0,NA,NA,NA,0,4,2009,WD,Normal,189000
829,NA,28698,Pave,NA,AllPub,CulDSac,ClearCr,Norm,Norm,1Fam,2Story,5,5,1967,Flat,Tar&Grv,Plywood,0,TA,TA,PConc,TA,Gd,1013,GasA,1160,966,0,2126,2,3,1,TA,7,Min2,0,Attchd,538,TA,Y,0,NA,NA,NA,0,6,2009,WD,Abnorml,185000
830,24,2544,Pave,Pave,AllPub,Inside,Somerst,Norm,Norm,Twnhs,2Story,7,5,2005,Gable,CompShg,MetalSd,0,Gd,TA,PConc,Gd,TA,600,GasA,520,623,80,1223,2,2,1,Gd,4,Typ,0,Detchd,480,TA,Y,0,NA,NA,NA,0,7,2006,WD,Normal,147400
831,80,11900,Pave,NA,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,6,5,1957,Gable,CompShg,HdBoard,387,TA,TA,CBlock,TA,TA,1392,GasA,1392,0,0,1392,1,3,1,TA,6,Typ,2,Attchd,458,TA,Y,0,NA,NA,NA,0,6,2008,WD,Normal,166000
832,30,3180,Pave,Pave,AllPub,Inside,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2005,Gable,CompShg,MetalSd,0,TA,TA,PConc,Gd,TA,600,GasA,520,600,80,1200,2,2,1,Gd,4,Typ,0,Detchd,480,TA,Y,0,NA,NA,NA,0,6,2006,WD,Normal,151000
833,44,9548,Pave,NA,AllPub,CulDSac,CollgCr,Norm,Norm,1Fam,2Story,7,6,2003,Gable,CompShg,VinylSd,223,Gd,TA,PConc,Gd,TA,941,GasA,941,888,0,1829,2,3,1,Gd,7,Typ,1,Attchd,613,TA,Y,0,NA,NA,NA,0,1,2010,WD,Normal,237000
834,100,10004,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,6,6,1964,Gable,CompShg,HdBoard,180,TA,TA,CBlock,TA,TA,1516,GasA,1516,0,0,1516,1,3,1,TA,6,Typ,0,Attchd,472,TA,Y,0,NA,NA,NA,0,2,2009,WD,Normal,167000
835,75,7875,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1961,Gable,CompShg,VinylSd,136,TA,TA,CBlock,TA,TA,1144,GasA,1144,0,0,1144,1,3,1,TA,6,Typ,0,Attchd,456,TA,Y,0,NA,GdWo,NA,0,9,2008,WD,Normal,139950
836,60,9600,Pave,NA,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,4,7,1950,Gable,CompShg,VinylSd,0,TA,TA,CBlock,Gd,TA,1067,GasA,1067,0,0,1067,2,2,1,Gd,4,Min2,0,Attchd,436,TA,Y,0,NA,NA,NA,0,2,2010,WD,Normal,128000
837,90,8100,Pave,Pave,AllPub,Inside,OldTown,Norm,Norm,1Fam,1Story,5,6,1948,Gable,CompShg,VinylSd,0,TA,TA,BrkTil,TA,TA,1559,GasA,1559,0,0,1559,1,2,1,TA,5,Min2,0,Detchd,812,TA,Y,0,NA,GdWo,NA,0,6,2007,COD,Normal,153500
838,21,1680,Pave,NA,AllPub,Inside,BrDale,Norm,Norm,Twnhs,2Story,6,5,1973,Gable,CompShg,HdBoard,158,TA,TA,CBlock,TA,TA,483,GasA,483,504,0,987,1,2,1,TA,5,Typ,0,Detchd,264,TA,Y,0,NA,NA,NA,0,11,2008,WD,Normal,100000
839,75,9525,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,5,6,1995,Gable,CompShg,VinylSd,0,TA,TA,PConc,Gd,TA,1099,GasA,1099,0,0,1099,1,3,1,Gd,6,Typ,0,Attchd,352,TA,Y,0,NA,NA,NA,0,6,2008,WD,Normal,144000
840,70,11767,Pave,NA,AllPub,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1946,Gable,CompShg,MetalSd,0,TA,TA,CBlock,TA,TA,768,GasA,768,432,0,1200,1,3,1,TA,6,Typ,0,Detchd,240,TA,Y,0,NA,NA,NA,0,5,2008,WD,Normal,130500
841,NA,12155,Pave,NA,AllPub,Inside,SWISU,Norm,Norm,1Fam,2Story,6,8,1925,Gable,CompShg,Wd Sdng,0,TA,TA,BrkTil,TA,TA,672,GasA,810,672,0,1482,2,4,1,Fa,7,Typ,0,Detchd,400,TA,P,0,NA,NA,NA,0,3,2008,WD,Normal,140000
842,60,10440,Pave,Grvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,2Story,5,8,1904,Gable,CompShg,MetalSd,0,TA,TA,PConc,TA,TA,650,GasA,958,581,0,1539,2,3,1,Gd,8,Typ,1,Detchd,686,TA,P,0,NA,NA,NA,0,6,2008,WD,Normal,157500
843,82,9020,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,SLvl,6,7,1966,Gable,CompShg,HdBoard,183,TA,TA,CBlock,TA,TA,1127,GasA,1165,0,0,1165,1,3,1,TA,6,Typ,0,Attchd,490,Gd,Y,0,NA,GdPrv,NA,0,5,2008,WD,Normal,174900
844,80,8000,Pave,NA,AllPub,Corner,NAmes,Artery,Norm,Duplex,1Story,5,4,1961,Gable,CompShg,BrkFace,0,TA,TA,CBlock,TA,TA,1800,GasA,1800,0,0,1800,2,6,2,TA,10,Typ,0,NA,0,NA,Y,0,NA,NA,NA,0,7,2007,WD,Normal,141000
845,100,12665,Pave,Grvl,AllPub,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,5,8,1915,Gable,CompShg,Wd Sdng,0,TA,TA,BrkTil,TA,TA,876,GasA,876,540,0,1416,1,4,1,TA,7,Typ,1,Detchd,720,TA,Y,0,NA,NA,NA,0,6,2008,WD,Normal,153900
846,NA,16647,Pave,NA,AllPub,CulDSac,Sawyer,RRAe,Norm,1Fam,SFoyer,5,5,1975,Gable,CompShg,HdBoard,0,TA,TA,CBlock,Gd,TA,1390,GasA,1701,0,0,1701,2,3,1,TA,6,Min2,2,Basment,611,TA,Y,0,NA,NA,NA,0,1,2007,WD,Normal,171000
847,75,9317,Pave,NA,AllPub,Inside,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,Gable,CompShg,HdBoard,137,Gd,TA,PConc,Gd,TA,740,GasA,1006,769,0,1775,2,3,1,Gd,7,Typ,1,Attchd,425,TA,Y,0,NA,NA,NA,0,7,2009,WD,Normal,213000
848,36,15523,Pave,NA,AllPub,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,5,6,1972,Gable,CompShg,HdBoard,0,TA,TA,CBlock,TA,TA,864,GasA,864,0,0,864,1,3,1,TA,5,Typ,1,Attchd,338,TA,Y,0,NA,NA,NA,0,8,2009,WD,Normal,133500
849,75,45600,Pave,NA,AllPub,Inside,ClearCr,Norm,Norm,1Fam,1.5Fin,6,8,1908,Gable,CompShg,Wd Sdng,0,TA,TA,BrkTil,TA,TA,907,GasA,1307,1051,0,2358,3,5,1,TA,10,Typ,1,Detchd,360,TA,Y,0,NA,NA,NA,0,9,2008,WD,Normal,240000
850,80,9600,Pave,NA,AllPub,FR2,Veenker,Feedr,Norm,1Fam,SLvl,6,7,1976,Hip,CompShg,Plywood,360,Gd,Gd,CBlock,TA,TA,528,GasA,1094,761,0,1855,2,3,1,TA,7,Typ,1,Attchd,512,TA,Y,0,NA,NA,NA,0,8,2007,WD,Normal,187000
851,36,4435,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,Gable,CompShg,VinylSd,170,Gd,TA,PConc,Gd,TA,848,GasA,848,0,0,848,1,1,1,Gd,3,Typ,0,Attchd,420,TA,Y,0,NA,NA,NA,0,11,2007,WD,Normal,131500
852,NA,3196,Pave,NA,AllPub,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2003,Gable,CompShg,VinylSd,40,Gd,TA,PConc,Gd,TA,1273,GasA,1456,0,0,1456,2,2,1,Gd,7,Typ,1,Attchd,400,TA,Y,0,NA,NA,NA,0,5,2006,WD,Normal,215000
853,53,7128,Pave,NA,AllPub,Inside,Crawfor,Norm,Norm,1Fam,2.5Unf,7,5,1941,Gable,CompShg,MetalSd,0,TA,Gd,CBlock,TA,TA,918,GasA,918,728,0,1646,2,4,1,TA,7,Typ,2,Detchd,240,TA,Y,0,NA,MnPrv,NA,0,8,2007,WD,Normal,164000
854,NA,12095,Pave,NA,AllPub,Corner,NAmes,Norm,Norm,1Fam,SLvl,6,6,1964,Gable,CompShg,MetalSd,115,TA,Gd,CBlock,TA,TA,1127,GasA,1445,0,0,1445,1,3,1,TA,7,Typ,1,Attchd,645,TA,Y,0,NA,MnPrv,NA,0,8,2009,WD,Normal,158000
